"VEHICLE: CARGO VAN, SPRINTER, CUBE VAN, STRAIGHT TRUCK, TRACTOR",DISTANCE: Miles,"PICKUP STATE: eg - TX, MI","DESTINATION STATE: eg - WI, IL","PICKUP CITY: eg - LAREDO, DALLAS","DESTINATION CITY: eg - HOPKINSVILLE, DALLAS",PICKUP DATE: dd-mm-yyyy,DELIVERY DATE: dd-mm-yyyy,Enter Your Bid Price
CARGO VAN,338,TN,IN,PULASKI,FRANKLIN,08-12-2022,08-12-2022,0
TRACTOR,1464,IN,TX,BREMEN,LAREDO,08-12-2022,10-12-2022,0
SPRINTER,1458,TX,NC,LAREDO,HIGH POINT,08-12-2022,10-12-2022,0
TRACTOR,1456,NX,IL,SANTA CATARINA CENTRO,EAST MOLINE,08-12-2022,12-12-2022,0
STRAIGHT TRUCK,260,MS,KY,MANTACHIE,HOPKINSVILLE,08-12-2022,08-12-2022,0
CARGO VAN,1644,MI,TX,FENTON,LAREDO,08-12-2022,10-12-2022,0
SPRINTER,1811,TX,OH,EL PASO,AVON,08-12-2022,10-12-2022,0
SPRINTER,2098,TX,CT,LAREDO,BLOOMFIELD,08-12-2022,12-12-2022,0
SPRINTER,1669,PA,TX,NORTH HUNTINGDON,LAREDO,08-12-2022,10-12-2022,0
SPRINTER,656,MI,MO,VICKSBURG,CLAYCOMO,08-12-2022,09-12-2022,0
CARGO VAN,1640,MI,TX,AUBURN HILLS,LAREDO,08-12-2022,12-12-2022,0
CARGO VAN,1160,GA,TX,TUCKER,LAREDO,08-12-2022,09-12-2022,0
CUBE VAN,1728,TX,MI,LOS INDIOS,DETROIT,08-12-2022,10-12-2022,0
CUBE VAN,1725,TX,MI,LOS INDIOS,DETROIT,08-12-2022,10-12-2022,0
CARGO VAN,1666,MI,TX,IMLAY CITY,LAREDO,08-12-2022,10-12-2022,0
TRACTOR,1110,TN,TX,MOUNT JULIET,LAREDO,08-12-2022,09-12-2022,0
STRAIGHT TRUCK,1622,TX,MI,EAGLE PASS,DEARBORN,08-12-2022,10-12-2022,0
SPRINTER,280,IL,MI,BELLWOOD,LIVONIA,08-12-2022,08-12-2022,0
STRAIGHT TRUCK,411,WI,KY,JANESVILLE,LOUISVILLE,08-12-2022,08-12-2022,0
TRACTOR,1642,CU,IA,TORREÓN,DAVENPORT,08-12-2022,10-12-2022,0
SPRINTER,320,IL,KY,ELMHURST,LOUISVILLE,08-12-2022,08-12-2022,0
CARGO VAN,169,TN,KY,ANDERSONVILLE,GEORGETOWN,07-12-2022,08-12-2022,0
TRACTOR,1986,PU,IL,HUEJOTZINGO,EAST MOLINE,07-12-2022,11-12-2022,0
SPRINTER,1883,JA,KY,TLAQUEPAQUE,LOUISVILLE,07-12-2022,12-12-2022,0
STRAIGHT TRUCK,1981,JA,IL,TLAQUEPAQUE,CHICAGO,07-12-2022,11-12-2022,0
SPRINTER,2009,JA,IL,TLAQUEPAQUE,CHICAGO,07-12-2022,11-12-2022,0
CARGO VAN,1575,TX,MI,LAREDO,LANSING,07-12-2022,09-12-2022,0
SPRINTER,597,NC,MI,LENOIR,DEARBORN,07-12-2022,08-12-2022,0
CARGO VAN,390,MI,OH,ROGERS CITY,LORAIN,07-12-2022,08-12-2022,0
CARGO VAN,333,OH,KY,SHEFFIELD LAKE,LOUISVILLE,07-12-2022,08-12-2022,0
SPRINTER,214,OH,MI,CANAL WINCHESTER,DETROIT,07-12-2022,08-12-2022,0
STRAIGHT TRUCK,1721,TX,MI,LOS INDIOS,DETROIT,07-12-2022,09-12-2022,0
CARGO VAN,1649,TX,MI,LAREDO,DETROIT,07-12-2022,09-12-2022,0
SPRINTER,1629,MI,TX,ROSEVILLE,DEL RIO,07-12-2022,09-12-2022,0
STRAIGHT TRUCK,1169,TX,IL,LAREDO,FLORA,07-12-2022,09-12-2022,0
TRACTOR,736,MO,MI,CLAYCOMO,NEW BOSTON,07-12-2022,12-12-2022,0
CARGO VAN,1628,TX,MI,LAREDO,ROMULUS,07-12-2022,09-12-2022,0
STRAIGHT TRUCK,2082,GJ,MI,SILAO,JONESVILLE,07-12-2022,11-12-2022,0
SPRINTER,1240,KY,TX,RUSSELL SPRINGS,LAREDO,07-12-2022,08-12-2022,0
TRACTOR,2041,IN,GJ,BUTLER,CENTRO,07-12-2022,12-12-2022,0
STRAIGHT TRUCK,1933,SL,IN,LOGISTIK,COLUMBIA CITY,07-12-2022,10-12-2022,0
CARGO VAN,949,FL,MI,TALLAHASSEE,DUNDEE,07-12-2022,09-12-2022,0
TRACTOR,1739,TX,MI,LAREDO,HIGHLAND PARK,07-12-2022,12-12-2022,0
SPRINTER,1643,MI,TX,HOLLY,LAREDO,07-12-2022,09-12-2022,0
TRACTOR,2336,VZ,OH,IXTACZOQUITLAN CENTRO,TOLEDO,07-12-2022,12-12-2022,0
SPRINTER,1712,TX,MI,EL PASO,WAYNE,07-12-2022,09-12-2022,0
CUBE VAN,1166,TN,TX,DECHERD,LAREDO,07-12-2022,09-12-2022,0
SPRINTER,1656,UT,MI,OGDEN,DETROIT,07-12-2022,08-12-2022,0
CARGO VAN,1580,UT,KY,OGDEN,LOUISVILLE,07-12-2022,08-12-2022,0
SPRINTER,1575,TX,MI,LAREDO,LANSING,06-12-2022,08-12-2022,0
CARGO VAN,1530,TX,MI,LAREDO,LITCHFIELD,06-12-2022,08-12-2022,0
TRACTOR,1311,TX,SC,LAREDO,DUNCAN,06-12-2022,07-12-2022,0
SPRINTER,445,TX,TX,FORT WORTH,LAREDO,06-12-2022,07-12-2022,0
SPRINTER,968,TX,AL,LAREDO,TUSCALOOSA,06-12-2022,07-12-2022,0
CARGO VAN,431,TN,OH,SMYRNA,DELPHOS,06-12-2022,07-12-2022,0
SPRINTER,1334,TX,TN,LAREDO,ROGERSVILLE,06-12-2022,07-12-2022,0
CARGO VAN,851,NH,MI,LONDONDERRY,DETROIT,06-12-2022,07-12-2022,0
TRACTOR,715,MI,NC,NEW TROY,MEBANE,06-12-2022,07-12-2022,0
SPRINTER,487,MI,KY,TROY,BOWLING GREEN,06-12-2022,06-12-2022,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,05-12-2022,06-12-2022,0
TRACTOR,2037,CA,TN,SAN DIEGO,SPRING HILL,05-12-2022,07-12-2022,0
SPRINTER,980,TX,AL,LAREDO,VANCE,05-12-2022,06-12-2022,0
CUBE VAN,1169,TX,IL,LAREDO,FLORA,05-12-2022,07-12-2022,0
STRAIGHT TRUCK,1662,TX,MI,LAREDO,ROMEO,05-12-2022,07-12-2022,0
SPRINTER,1626,TX,MI,LAREDO,DETROIT,05-12-2022,07-12-2022,0
STRAIGHT TRUCK,1659,TX,MI,LAREDO,STERLING HEIGHTS,05-12-2022,07-12-2022,0
SPRINTER,1617,TX,MI,LAREDO,DETROIT,05-12-2022,07-12-2022,0
SPRINTER,1235,KY,TX,RUSSELL SPRINGS,LAREDO,05-12-2022,07-12-2022,0
SPRINTER,234,MN,IL,WINONA,BELVIDERE,05-12-2022,06-12-2022,0
STRAIGHT TRUCK,1065,TX,GA,LAREDO,WEST POINT,05-12-2022,07-12-2022,0
TRACTOR,1464,IN,TX,BREMEN,LAREDO,05-12-2022,07-12-2022,0
SPRINTER,1684,TX,MI,EL PASO,FLAT ROCK,05-12-2022,07-12-2022,0
CUBE VAN,1353,TX,IN,LAREDO,GREENSBURG,05-12-2022,07-12-2022,0
CUBE VAN,1160,TX,TN,LAREDO,DECHERD,05-12-2022,07-12-2022,0
STRAIGHT TRUCK,1604,TX,MI,LAREDO,CANTON,04-12-2022,06-12-2022,0
CUBE VAN,1333,TX,SC,LAREDO,GAFFNEY,04-12-2022,06-12-2022,0
SPRINTER,457,TX,TX,LAREDO,DENTON,04-12-2022,05-12-2022,0
TRACTOR,1618,TX,MI,LAREDO,DETROIT,04-12-2022,06-12-2022,0
CARGO VAN,1643,TX,MI,LAREDO,TROY,04-12-2022,06-12-2022,0
CARGO VAN,1116,TX,TN,LAREDO,GALLATIN,04-12-2022,06-12-2022,0
CARGO VAN,1575,TX,MI,LAREDO,LANSING,04-12-2022,06-12-2022,0
CUBE VAN,551,GJ,TX,SAN JOSÉ ITURBIDE,LAREDO,04-12-2022,05-12-2022,0
CARGO VAN,1945,NY,TX,ITHACA,LAREDO,04-12-2022,06-12-2022,0
TRACTOR,1158,KY,TX,HENDERSON,LAREDO,03-12-2022,05-12-2022,0
TRACTOR,2205,GJ,MI,SILAO,SHELBY TOWNSHIP,03-12-2022,07-12-2022,0
CUBE VAN,2115,GJ,OH,COECILLO,TOLEDO,03-12-2022,07-12-2022,0
TRACTOR,713,GJ,TX,SILAO,SAN ANTONIO,03-12-2022,06-12-2022,0
CARGO VAN,1657,TX,MI,LAREDO,STERLING HEIGHTS,03-12-2022,06-12-2022,0
TRACTOR,1274,TX,KY,LAREDO,LOUISVILLE,03-12-2022,04-12-2022,0
SPRINTER,1086,TX,IL,LAREDO,EDWARDSVILLE,03-12-2022,05-12-2022,0
STRAIGHT TRUCK,1680,TX,MI,LAREDO,ROMEO,03-12-2022,06-12-2022,0
TRACTOR,1671,TX,OH,PHARR,LORAIN,03-12-2022,05-12-2022,0
CUBE VAN,2009,JA,IL,TLAQUEPAQUE,CHICAGO,03-12-2022,07-12-2022,0
CARGO VAN,1559,TX,OH,LAREDO,TOLEDO,03-12-2022,05-12-2022,0
STRAIGHT TRUCK,367,OH,KY,TOLEDO,RUSSELL SPRINGS,03-12-2022,05-12-2022,0
CUBE VAN,1575,TX,MI,LAREDO,TEMPERANCE,03-12-2022,05-12-2022,0
TRACTOR,978,MS,TX,BLUE SPRINGS,LAREDO,03-12-2022,05-12-2022,0
SPRINTER,1575,TX,MI,LAREDO,TEMPERANCE,03-12-2022,05-12-2022,0
CARGO VAN,1475,MI,TX,DOWAGIAC,LAREDO,03-12-2022,05-12-2022,0
SPRINTER,1678,GJ,AL,IRAPUATO,MADISON,03-12-2022,06-12-2022,0
TRACTOR,728,QA,TX,QUERÉTARO,SAN ANTONIO,02-12-2022,06-12-2022,0
SPRINTER,1637,CU,MI,RAMOS ARIZPE,WARREN,02-12-2022,07-12-2022,0
STRAIGHT TRUCK,1566,TX,OH,LAREDO,TOLEDO,02-12-2022,06-12-2022,0
SPRINTER,1559,TX,OH,LAREDO,TOLEDO,02-12-2022,05-12-2022,0
CUBE VAN,497,TX,AG,LAREDO,AGUASCALIENTES,02-12-2022,03-12-2022,0
SPRINTER,1784,NX,MI,APODACA CENTRO,AUBURN HILLS,02-12-2022,06-12-2022,0
SPRINTER,1642,TX,MI,LAREDO,HIGHLAND PARK,02-12-2022,06-12-2022,0
SPRINTER,2107,NX,NJ,APODACA CENTRO,RANDOLPH,02-12-2022,05-12-2022,0
CARGO VAN,1034,AL,TX,AUBURN,LAREDO,02-12-2022,05-12-2022,0
CARGO VAN,1530,GJ,AL,SAN JOSÉ ITURBIDE,VANCE,02-12-2022,05-12-2022,0
STRAIGHT TRUCK,2212,EM,OH,PARQUE INDUSTRIAL TOLUCA,WAUSEON,02-12-2022,07-12-2022,0
STRAIGHT TRUCK,1649,TX,MI,LAREDO,DETROIT,02-12-2022,05-12-2022,0
CUBE VAN,513,TN,OH,PULASKI,PAULDING,02-12-2022,03-12-2022,0
CARGO VAN,1455,WI,TX,CHIPPEWA FALLS,LAREDO,02-12-2022,05-12-2022,0
CARGO VAN,1643,MI,TX,ROCHESTER,LAREDO,02-12-2022,05-12-2022,0
STRAIGHT TRUCK,1559,TX,OH,LAREDO,TOLEDO,02-12-2022,05-12-2022,0
STRAIGHT TRUCK,1147,TN,TX,TULLAHOMA,LAREDO,02-12-2022,05-12-2022,0
TRACTOR,1728,SL,KY,CENTRO,LOUISVILLE,02-12-2022,07-12-2022,0
TRACTOR,739,GJ,TX,SILAO,SEGUIN,02-12-2022,07-12-2022,0
SPRINTER,1739,TN,GJ,SPARTA,SILAO,02-12-2022,07-12-2022,0
STRAIGHT TRUCK,2245,JA,MI,EL SALTO,HAZEL PARK,02-12-2022,06-12-2022,0
CARGO VAN,1602,OH,TX,BEREA,LAREDO,02-12-2022,05-12-2022,0
SPRINTER,1536,OH,TX,MCCONNELSVILLE,LAREDO,02-12-2022,03-12-2022,0
STRAIGHT TRUCK,1624,MI,TX,WIXOM,LAREDO,02-12-2022,05-12-2022,0
CARGO VAN,1530,GJ,AL,SAN JOSÉ ITURBIDE,VANCE,02-12-2022,04-12-2022,0
STRAIGHT TRUCK,1618,TX,MI,LAREDO,DETROIT,23-11-2022,27-11-2022,0
SPRINTER,2170,GJ,MI,COECILLO,DETROIT,23-11-2022,27-11-2022,0
STRAIGHT TRUCK,1649,TX,MI,LAREDO,DETROIT,23-11-2022,26-11-2022,0
SPRINTER,1643,TX,MI,LAREDO,STERLING HEIGHTS,22-11-2022,26-11-2022,0
CARGO VAN,1932,JA,IN,ZAPOPAN,SEYMOUR,22-11-2022,26-11-2022,0
SPRINTER,1758,NX,MI,HACIENDA EL CAMPANARIO,DETROIT,17-11-2022,21-11-2022,0
SPRINTER,2178,GJ,MI,LEÓN I,WAYNE,17-11-2022,21-11-2022,0
SPRINTER,1754,TX,MI,EL PASO,MOUNT CLEMENS,17-11-2022,19-11-2022,0
CARGO VAN,1631,MI,TX,PLYMOUTH,LAREDO,17-11-2022,19-11-2022,0
CARGO VAN,2282,EM,OH,TOLUCA,SHEFFIELD VILLAGE,17-11-2022,22-11-2022,0
SPRINTER,1712,TX,MI,EL PASO,DETROIT,17-11-2022,19-11-2022,0
CARGO VAN,1839,QA,KY,QUERÉTARO,LOUISVILLE,17-11-2022,21-11-2022,0
CARGO VAN,1362,TX,IN,LAREDO,LAFAYETTE,17-11-2022,19-11-2022,0
SPRINTER,980,TX,AL,LAREDO,VANCE,17-11-2022,18-11-2022,0
CUBE VAN,770,MI,MS,GRAND RAPIDS,BLUE SPRINGS,17-11-2022,18-11-2022,0
CARGO VAN,548,MN,OH,WINONA,TOLEDO,17-11-2022,18-11-2022,0
CARGO VAN,765,MI,MO,UTICA,LIBERTY,17-11-2022,18-11-2022,0
CUBE VAN,1361,IL,TX,MOUNT PROSPECT,LAREDO,17-11-2022,19-11-2022,0
SPRINTER,1753,AZ,KY,NOGALES,LOUISVILLE,17-11-2022,20-11-2022,0
STRAIGHT TRUCK,1384,TX,KY,BROWNSVILLE,LOUISVILLE,17-11-2022,19-11-2022,0
STRAIGHT TRUCK,1622,MI,TX,CANTON,LAREDO,17-11-2022,19-11-2022,0
STRAIGHT TRUCK,1169,TX,IL,LAREDO,FLORA,17-11-2022,20-11-2022,0
STRAIGHT TRUCK,1567,OH,TX,WOOSTER,LAREDO,17-11-2022,21-11-2022,0
SPRINTER,1630,MI,TX,FLINT,LAREDO,17-11-2022,19-11-2022,0
CARGO VAN,2239,JA,MI,TLAJOMULCO DE ZUÑIGA,CANTON,17-11-2022,21-11-2022,0
STRAIGHT TRUCK,406,KY,MI,SHELBYVILLE,NEW BALTIMORE,17-11-2022,18-11-2022,0
CARGO VAN,565,OH,AL,TIFFIN,HUNTSVILLE,17-11-2022,18-11-2022,0
CARGO VAN,2055,SL,OH,SAN LUIS POTOSÍ,STRONGSVILLE,17-11-2022,21-11-2022,0
CARGO VAN,1069,AZ,TX,NOGALES,LAREDO,17-11-2022,18-11-2022,0
CARGO VAN,1643,MI,TX,MACOMB,LAREDO,17-11-2022,19-11-2022,0
SPRINTER,1527,MI,TX,BATTLE CREEK,LAREDO,17-11-2022,18-11-2022,0
STRAIGHT TRUCK,547,TX,MO,FORT WORTH,CLAYCOMO,17-11-2022,22-11-2022,0
CARGO VAN,819,TX,MS,SAN ANTONIO,BLUE SPRINGS,17-11-2022,18-11-2022,0
TRACTOR,1477,KY,TX,LOUISVILLE,EL PASO,17-11-2022,18-11-2022,0
CARGO VAN,2041,MR,KY,CUAUTLA,LOUISVILLE,17-11-2022,21-11-2022,0
TRACTOR,548,MI,MO,BELLEVILLE,WENTZVILLE,17-11-2022,18-11-2022,0
SPRINTER,2348,SL,PA,SAN LUIS POTOSÍ,ALLENTOWN,17-11-2022,21-11-2022,0
SPRINTER,1732,TX,MI,EL PASO,DETROIT,17-11-2022,18-11-2022,0
SPRINTER,1744,TX,MI,EL PASO,STERLING HEIGHTS,17-11-2022,18-11-2022,0
TRACTOR,814,IA,MS,CEDAR RAPIDS,BROOKHAVEN,16-11-2022,18-11-2022,0
CARGO VAN,174,OH,OH,LOGAN,STRONGSVILLE,17-11-2022,17-11-2022,0
CARGO VAN,475,IN,MS,COLUMBUS,BLUE SPRINGS,17-11-2022,17-11-2022,0
SPRINTER,315,KY,OH,BOWLING GREEN,CHILLICOTHE,17-11-2022,17-11-2022,0
TRACTOR,689,KY,ON,BOWLING GREEN,ARTHUR,16-11-2022,17-11-2022,0
TRACTOR,985,TX,AL,LAREDO,VANCE,16-11-2022,17-11-2022,0
TRACTOR,425,IA,IN,CEDAR FALLS,COLUMBIA CITY,10-11-2022,11-11-2022,0
STRAIGHT TRUCK,1380,TX,KY,LOS INDIOS,LOUISVILLE,10-11-2022,12-11-2022,0
CUBE VAN,461,TX,SL,LAREDO,SAN LUIS POTOSÍ,10-11-2022,11-11-2022,0
CUBE VAN,1575,TX,MI,LAREDO,TEMPERANCE,10-11-2022,12-11-2022,0
TRACTOR,968,TX,AL,LAREDO,TUSCALOOSA,10-11-2022,11-11-2022,0
SPRINTER,976,NH,KY,LONDONDERRY,LOUISVILLE,10-11-2022,12-11-2022,0
TRACTOR,1019,AL,TX,ALABASTER,LAREDO,10-11-2022,11-11-2022,0
CARGO VAN,1683,PA,TX,SAXONBURG,LAREDO,10-11-2022,12-11-2022,0
STRAIGHT TRUCK,1054,TX,MO,LAREDO,SAINT LOUIS,10-11-2022,12-11-2022,0
TRACTOR,447,MO,KY,MEXICO,GEORGETOWN,10-11-2022,10-11-2022,0
CARGO VAN,188,TX,TX,LOS INDIOS,LAREDO,10-11-2022,11-11-2022,0
CARGO VAN,776,MI,AL,SPARTA,TUSCALOOSA,10-11-2022,11-11-2022,0
CARGO VAN,690,MI,MN,ALLEN PARK,MINNEAPOLIS,10-11-2022,11-11-2022,0
TRACTOR,2031,EM,NC,TLALNEPANTLA DE BAZ,STATESVILLE,08-11-2022,12-11-2022,0
STRAIGHT TRUCK,556,TX,GJ,LAREDO,SILAO,03-11-2022,04-11-2022,0
TRACTOR,2178,QA,MI,EL MARQUÉS,FOWLERVILLE,03-11-2022,07-11-2022,0
STRAIGHT TRUCK,934,TX,TN,LAREDO,RIPLEY,03-11-2022,05-11-2022,0
STRAIGHT TRUCK,607,SC,MS,SUMMERVILLE,BLUE SPRINGS,03-11-2022,04-11-2022,0
SPRINTER,1187,TX,MI,FORT WORTH,DEARBORN,03-11-2022,05-11-2022,0
SPRINTER,1470,TX,WV,LAREDO,BUFFALO,03-11-2022,06-11-2022,0
STRAIGHT TRUCK,1555,TX,OH,LAREDO,TOLEDO,03-11-2022,07-11-2022,0
SPRINTER,188,KY,AL,BOWLING GREEN,HARTSELLE,03-11-2022,03-11-2022,0
SPRINTER,1766,NX,MI,SANTA CATARINA CENTRO,DEARBORN,03-11-2022,07-11-2022,0
STRAIGHT TRUCK,985,TX,AL,LAREDO,VANCE,03-11-2022,04-11-2022,0
SPRINTER,1737,TX,MI,EL PASO,STERLING HEIGHTS,03-11-2022,05-11-2022,0
STRAIGHT TRUCK,1561,TX,MI,LAREDO,TEMPERANCE,03-11-2022,06-11-2022,0
STRAIGHT TRUCK,1358,TX,IL,LAREDO,BELVIDERE,03-11-2022,07-11-2022,0
STRAIGHT TRUCK,762,MI,MS,BATTLE CREEK,BLUE SPRINGS,03-11-2022,04-11-2022,0
STRAIGHT TRUCK,274,KY,MS,FRANKLIN,BLUE SPRINGS,03-11-2022,03-11-2022,0
CARGO VAN,1905,JA,KY,TLAJOMULCO DE ZUÑIGA,LOUISVILLE,03-11-2022,06-11-2022,0
STRAIGHT TRUCK,1457,WI,TX,GERMANTOWN,LAREDO,03-11-2022,05-11-2022,0
STRAIGHT TRUCK,1377,TX,KY,LOS INDIOS,LOUISVILLE,03-11-2022,07-11-2022,0
SPRINTER,1469,TX,KY,EL PASO,LOUISVILLE,03-11-2022,04-11-2022,0
SPRINTER,1730,TX,MI,EL PASO,DEARBORN,03-11-2022,06-11-2022,0
STRAIGHT TRUCK,1147,TN,TX,TULLAHOMA,LAREDO,03-11-2022,07-11-2022,0
CARGO VAN,1598,NX,IL,GUADALUPE,BARTLETT,03-11-2022,07-11-2022,0
STRAIGHT TRUCK,1666,MI,TX,IMLAY CITY,LAREDO,03-11-2022,05-11-2022,0
CARGO VAN,439,OH,AL,VANDALIA,TANNER,03-11-2022,03-11-2022,0
CARGO VAN,1396,NC,TX,CONOVER,LAREDO,02-11-2022,04-11-2022,0
TRACTOR,1899,JA,KY,TLAQUEPAQUE,LOUISVILLE,02-11-2022,07-11-2022,0
CARGO VAN,388,TX,AZ,EL PASO,NOGALES,02-11-2022,03-11-2022,0
TRACTOR,2688,QA,IN,LA GRIEGA,EVANSVILLE,02-11-2022,05-11-2022,0
TRACTOR,1567,NX,NC,GENERAL ESCOBEDO,STATESVILLE,02-11-2022,07-11-2022,0
CARGO VAN,1827,GJ,KY,IRAPUATO,LOUISVILLE,02-11-2022,07-11-2022,0
CARGO VAN,1955,TX,NJ,LAREDO,WHIPPANY,02-11-2022,07-11-2022,0
TRACTOR,1371,CU,IL,COAHUILA,MILAN,02-11-2022,07-11-2022,0
TRACTOR,1718,TX,MI,LAREDO,BROWNSTOWN,02-11-2022,07-11-2022,0
TRACTOR,1261,CU,MO,RAMOS ARIZPE,WENTZVILLE,02-11-2022,07-11-2022,0
STRAIGHT TRUCK,892,TX,TN,LAREDO,MEMPHIS,27-10-2022,28-10-2022,0
STRAIGHT TRUCK,275,KY,AL,LEBANON,HUNTSVILLE,27-10-2022,28-10-2022,0
SPRINTER,1659,UT,MI,OGDEN,DETROIT,27-10-2022,28-10-2022,0
TRACTOR,393,WI,MI,MENOMONEE FALLS,DETROIT,27-10-2022,28-10-2022,0
CARGO VAN,598,MN,MI,WINONA,AUBURN HILLS,27-10-2022,28-10-2022,0
SPRINTER,897,NC,MI,KENANSVILLE,HOLLAND,27-10-2022,27-10-2022,0
CARGO VAN,1734,TX,MI,BROWNSVILLE,DETROIT,26-10-2022,28-10-2022,0
STRAIGHT TRUCK,1614,TX,MI,LAREDO,DETROIT,26-10-2022,28-10-2022,0
SPRINTER,787,TX,TX,PHARR,EL PASO,26-10-2022,27-10-2022,0
SPRINTER,1746,TX,MI,EL PASO,MOUNT CLEMENS,26-10-2022,28-10-2022,0
CARGO VAN,892,TX,TN,LAREDO,MEMPHIS,26-10-2022,27-10-2022,0
CUBE VAN,1363,TX,IL,LAREDO,BELVIDERE,26-10-2022,28-10-2022,0
TRACTOR,581,TX,QA,LAREDO,EL MARQUÉS,26-10-2022,27-10-2022,0
CARGO VAN,1731,TX,MI,EL PASO,DETROIT,26-10-2022,28-10-2022,0
SPRINTER,1520,VA,TX,DANVILLE,LAREDO,26-10-2022,28-10-2022,0
